Letter ID,Full Text
ASCC 1302,"ich bitte Sie auf Ihre Anfrage bezüglich der Ueberlassung der Gurrelieder an amerikanische Dirigenten zur Kenntnis zu nehmen, dass ich nach wie vor das mir zustehende Recht der ame rikanischen Erstaufführung für mich als Dirigenten in Anspruch nehme. Sie schrieben mir dieser Tage, wegen etlicher Partituren jüngerer Komponisten, welchen den Vorzug geniessen, in meiner Bibliothek vor handen zu sein. Ich nehme an, dass die verehrliche UE das als eine Art Verlagserfolg bucht und bitte darum, den Betrag, mit dem sie mein Konto für die Ueberlassung dieser „Ehrenexemplare“ (welche nämlich der obengenannten Ehre teilhaftig wurden) von meinem Konto streicht! Bitte mir von der Buchhaltung darüber Nachricht zukommen zu lassen. Ferner bitte ich Sie mir von meiner endlich erschie nenen Suite (Sie haben offenbar augenblicklich doch nichts besser es vorgehabt) noch 4 Partituren zu senden. Ich warte immer noch auf die Erledigung meines letzten Briefes! Es wäre nun doch höchste Zeit; das ist doch kein Verlagswerk von mir, dass das so lange dauert!"
ASCC 13030,"Da Sie meinen, dass die Sache so steht, dass Sie an Rechten nichts behalten würden als die Erlaub nis sich zu bedan ken und dreimal im Tage frische Luft zu schöpfen, kurz: dass Sie einem gemei nen kommerziellen Ausbeutertum verfallen würden, müssen wir leider die ganze Frage einstweilen nochoffen lassen. Vielleicht eini gen wir uns nach meiner Rückkehr zu einer weniger pessi mistischen An schauung."
ASCC 13031,"Ich habe leider des Herrn Peters noch nicht hab haft werden können – vielleicht heute Abend. Aber ich denke, dass der Zahlung von MK 500.– nichts im Wege stehen wird, besonders wenn wir Ihnen den Betrag als Vorschuss auf den ganzen Kerl geben dürfen. Und – wenn Sie sich etwa bereit erklären würden unseren fünfjährigen Vertrag um 1 Jahr zu verlängern. Ich glaube ja, dass wir mit Ihnen sehr viel Geduld werden haben müssen. Man nennt das Zukunfts musik, nicht wahr? Jedenfalls wollen wir die symphonische Dichtung dem Allgem. Deutschen Musikverein einreichen – Sie werden das in aller Form tun und ich werde nachher die Sache bei Schillings befürworten. Und bei den mir sonst bekann ten Mitgliedern des Musikaus schusses . Ich bekomme eben die Nachr. dass ich Herrn P. heut Abend sicher sehen werde – ich gebe Ihnen dann also sofort Bescheid."
ASCC 13032,"Hätten Sie Lust beifolgende Partitur, die Sie schon kennen, für Geld und gute Worte durchzusehen und zu retouchieren, zu bearbeiten od. wie man’s nennen will? Ich bin näm lich der freilich sehr unmassgeblichen Meinung, dass das Stück in der Anlage nicht schlecht ist und dass es seine Wirkung tun könnte. Ich habe nun gerade etwas anderes vor und hätte doch das „Sturmlied“ möglichst bald in Ordnung. Die ganze Art wird Ihnen natürlich nicht liegen; es kann sich aber auch garnicht um wesentliche Eingriffe handeln –. Vielleicht benutzen Sie zu Ihren Korrekturen die Bleischrift korrektur partitur , in der Sie nach Bedarf und Belieben korrigieren können. Was machen sie sonst? Sind Sie fleissig? Wie gehen die Geschäfte?"
ASCC 13033,"– ich muss Ihnen leider gestehen, dass ich mit Ihren mir eingeschickten Arbeiten einstweilen nichts an zufangen weiss – aber auch gar nichts! Das ist für mich zum grössten Teil nicht das, was ich unter Musik empfinde. Vor allem sehe ich bei Ihnen eine Entwickelung ins Ufer- und Bodenlose. Seien Sie mir nicht böse, aber ich muss Ihnen doch eine Erklärung dafür geben, dass das Geschäft liche sich nicht so ohne Weiteres erledigen lässt. Die Arbeiten haben einem zweiten Vertrau ensmann des Herrn Peters vorgelegen, der Folgendes schreibt: „Mit Schönbergs Art kann ich mich beim besten Willen nicht befreunden. Im Grunde ist die Erfindung ziemlich konventio nell. Die harmonischen Extrava ganzen würde ich schon in Kauf nehmen, wenn sie sich mit dem Sinn für grosse Flächen und zielbewussten Aufbau ver bänden. Das Quartett empfinde ich beim Lesen als einen mäch tigen Bandwurm. Relativ am besten gefallen mir: Natur, Voll jener Süsse. Schade um die aussergewöhnlich brillante Technik –!“ Herr Peters ist dermassen in Anspruch genommen, dass ich ihn erst wenige Augen blicke habe sprechen können. Ich hoffe, dass ich ihn heute Abend sehen werde, und dann will ich ihn fragen, ob er geneigt wäre Ihnen das Geld einst weilen einmal in Form eines Darlehens zu geben. Arnold Schönberg, Sechs Lieder für Gesang und Orchester op. 8 Arnold Schönberg, Streichquartett Nr. 1 op. 7 Ja, es liesse sich vieles sagen über Ihre Arbeiten – aber ich will mich mit Liebe noch mehrfach in sie vertie fen, um zu versuchen einen günstigen Standpunkt ihnen gegenüber zu gewinnen."
ASCC 13034,"Entschuldigen Sie! Ich bin in Not jetzt noch unhöflicher als sonst. Ein Umzug mit allerlei Schwierigkeiten hat mich ganz aus dem Balance ment gebracht. Die Stimmen können Sie kriegen, wofern sie Fried der sie, glaube ich hat, nicht bald gebraucht. Ueber Ihre Rückerwerbungs wünsche werde ich mich dem nächst äussern. Bitte meine neue Adresse zu vermerken. Halensee, Halberstädterstr. 6 Arnold Schönberg, Pelleas und Melisande op. 5 Handschriftliches Stimmenmaterial der Uraufführung, teilweise autograph, verschollen (ASGA B 10, Quelle E*)"
ASCC 13036,"Eben kehre ich von einer grösseren Radtour zurück und finde Ihren Brief vor. Mein Brief sollte kei ne ausgemachte Absage sein. Es schien mir nur notwendig auf nachdem Ihre öfter in Gesprächen geäusserte Auffassung, der geplante Ver trag sei für Sie überwiegend un günstig, für uns überwiegend günstig, einen so drastischen scherz-ernsthaften Ausdruck gefun den hatte, ganz besonders vorsehend und vorsichtig zu sein. Ich werde ja nun bald wieder in Berlin sein; einst weilen will ich Sie nur darauf vorbereiten, dass Herr Peters sich zu einer Zahlung von 1000 MK voraussichtlich nicht verstehen wird. Es thut mir leid, dass Sie so lange zappeln müssen – verdammt – es ist unser aller Los. Setzen Sie mal einen genauen Vertrag auf, damit wir nachher umso schneller vorwärts kommen, einen Vertrag, der Sie jedes Gefühles entäussert, dass Sie später einmal schlechter gestellt sein könnten, als sie verdienen."
ASCC 13037,"Ihre s. D. symphonische Dichtung „Pelleas und Melisande“ soll Mitte Oktober mit dem philh. Orch. geprobt werden; na türlich nur, wenn wir nach den Satzungen unseres Vertrages das Verlags recht erwerben können. Nach der Probe wird sich Fried entscheiden, ob er das Werk noch in die sem Winter aufführen wird. Schicken Sie die bessere Partitur ; der an dere wird das Werk doch nicht aufführen. Das gebe ich Ihnen hiermit schrift lich."
ASCC 13038,"Fried beginnt mit den Proben und kann die Stimmen nicht entbehren. Zu Oskar Fried an Arnold Schönberg, 12. Oktober 1910 (ASCC 20975) berichtet von einer Gesamtprobe und weiteren Probenterminen"
ASCC 13039,"Sie sind übrigens sehr witzig; ich habe es längstgewusst; aber es war mir doch eine Beruhigung zu erfahren, dass Sie der alte Humor nicht verlassen hat.. Beiliegende Karte kam als unbestellbar zurück"
ASCC 13040,"Gestern Abend von einer Reise zurückgekehrt, finde ich Ihre beiden gefl. Zuschriften vom 18. und 24. cr. currentis vor, worauf ich Ihnen heute morgen depeschierte, dass die Absendung heute erfol gen wird. Ich übersende Ihnen daher einliegend M. 500.– in Buchstaben Fünfhundert Mark in bar, wogegen Sie mir den mitfolgenden Schuldschein und die mitfolgende Tratte mit Ihrer Unterschrift versehen mittels Ein schreibbriefes retournieren wollen. Bei jedesmaliger Rückzahlung werde ich auf der Rückseite des Wechsels über den empfangenen Betrag quittieren und Ihnen den Empfang der betr. Rate bestätigen. M. 500.– 1 Schuldschein. 1 Tratte.1 Abschrift"
ASCC 13041,"Ihr Geehrtes vom 16. cr currentis . ist mir geworden, und entnahm ich aus demselben, dass die Ange legenheit bereits durch Uebernahme Ihrer Com positionen durch den Verlag Dreililien gere gelt ist. Mein Schwager Marschalk, an den Sie Postkar te richteten, schrieb mir in demselben Sinne. Ich bedaure, dass ich Sie wegen Rückzahlung gemahnt habe, ich muss aber bemerken, dass ich von der Angelegenheit nicht unterrichtet war. Ich komme in den nächsten Tagen mit mei nem Schwager zusammen, und werde die Angele genheit alsdann mit ihm nochmals besprechen, und die Rücksendung Ihrer Accepte bewirken."
ASCC 13042,"Hier haben Sie Ihre Par titur ; seien Sie um des Him mels willen nicht wehleidig und streichen Sie, was sich ir gend streichen lässt. Und dann – die Sache ist Programmmusik und wenn man schon einmal einen poëtischen Gedanken – und Vorstellungsgange folgt, so soll man nachher nicht fordern, dass der Hörer als absolute Musik neh me, was eben nicht als absolute Musik gewachsen ist. Ich bin nebenbei der Meinung, dass das Publikum williger folgen wird! Also – raus mit dem Programm. Schicken Sie mir die Partitur dann bald zurück. Wir wollen sie doch lieber erst nur autographieren lassen ; das Stechen bleibt ja immer noch, und wenn ein Werk nicht aufgeführt wird, und wenn es nicht mit Erfolg aufgeführt wird, so kauft kein Mensch eine Partitur und wenn sie noch so klein und noch so billig ist. So – und nun seien Sie nicht so faul; uns Geld ab locken unter dem Vorwande an eine grosse Arbeit gehen zu wollen und nachher auf der Bärenhaut liegen – das ist zum Mindesten niederträchtig. Können Sie eine Melodie mit einer einfachen Begleitung schreiben? Wissen Sie, dass Modulationen nur im Gegensatz zur Tonalität wirken, und dass Polyphonie, sollen wir sie als blühend empfinden, in Gegensatz zur Homophonie ge bracht werden muss? Und dass ein unentwegt polyphones Stück genau so monoton wirken kann wie ein dito homophones? Wollen Sie mir versprechen diese weisen Lehren zu beherzigen? Schicken Sie mir die Rh. Ztg wieder! Für unser Archiv. Arnold Schönberg, Zwei Gesänge für eine Baritonstimme und Klavier op. 1 Arnold Schönberg, Vier Lieder für eine Singstimme und Klavier op. 2 Arnold Schönberg, Sechs Lieder für eine mittlere Singstimme und Klavier op. 3 Arnold Schönberg, Verklärte Nacht op. 4"
ASCC 1306,"ich sende Ihnen beiliegend zwei Briefe und eine Abrechnung und bitte um umgehende Aufklärung. Ich muss aber diesmal bitten, die Aufklärung so zu besorgen dass ich endlich dazu gelange, die mir zustehenden Einkünfte zu beziehen. Ich habe bisher noch nicht einen Pfennig aus diesen Quellen bekommen, woran zum Teil die UE mitschuldig ist. Denn trotz aller meiner wiederholten Ersuche, diese Sache zu ordnen, ist das bis heute nicht geschehen. Ich vermute, dass sich die Abrechnung der Ammre auf die Ueber tragung meiner kleinen Klavierstücke bezieht, die ohne mein Wissen geschah, von der ich bis jetzt kennen Pfennig erhielt, und obwohl ich wiederholt reklamiert habe, auch keine Aufklä rung! Ich weiss wirklich nicht, wie ich das auffassen soll, da doch die Steinway-Gesellschaft mir seinerzeit erklärt hat, dass sie eine Vereinbarung mit dem Verlag habe! Ebenso unverständlich ist mir der zweite Brief, der der GDT. Wer hat diesem Verband meine Rechte übertragen? An wen wurden Aufführungsgebühren bezahlt? Ich muss dringends z t um volls c tändige und restlose Aufklärung dieser beiden Fakten bitten, da ich begreiflicherweise sehr be unruhigt bin."
ASCC 1308,"aus den letzten Briefen glaube ich den Stil des Herrn Direktor Herzka zu erkennen. Auch von ihm würde ich die Grobheit des Briefes vom 2 2 3 . Absatz 2: „Ihre Bemerkung.........dürfen wir wohl übergehen“ nicht unwidersprochen hinnehmen, obwohl wir ja immerhin alte Freunde sind. Den Unterzeichneten müsste ich sie unbedingt sehr übelnehmen und darum wäre es mir erwünscht wenn derjenige, den man am Stil erkennt, auch an der Unterschrift kenntlich wäre. Sollte S ich mich aber irren und sollte Herr Di rektor Herzka noch krank sein, so bitte ich ihn herzlichst von mir zu grüssen und gefälligst zur Kenntnis zu nehmen, dass man eine Bemerkung von mir höchstens mit Stillschweigen übergehen dürfte. Welches nämlich sehr beredt wäre – zu meinen Gunsten! Zur Sache möchte ich erwähnen, dass meine Bemerkung keineswegs irrtümlich ist, sondern auf der Tatsache beruht, dass ich Herrn D Direktor Herzka unzähligemale bat, meine Autorenbanden-Angelegen heit zu ordnen, dass ich mir das sogar bei Abschluss unseres letzten Vertrages ausbedungen habe; mehr aber noch, dass ich im Juli vorigen Jahres über Zureden des Herrn Direktors auf die augenblickliche Regelung meines Verhältnisses verzichtete, da er mir eine zufriedenstellende Lösung für den Herbst zuverläs sig versprach. So sieht nun die Zuverlässigkeit und so die Lö sung aus: dass ich nämlich heuer wieder keine Tantiemen erhalten soll – wenn ich mich nicht zur Wehre setze! Aber vielleicht hat derjenige der den Brief vom 22. D/Ma. verfasst hat, Recht; vielleicht ist es wirklich besser diese Sache bis zu meiner Rückkehr (Anfangs Juni) zu verschieben. Man würde sich gewiss unnötig ärgern. Und da ich augenblicklich sehr angestrengt an einem grösseren . Werke arbeite, darf ich mich bei Ihrem besten Willen nicht ärgern. Ich bin also, ohne meinem Standpunkt zu präjudizieren, bereit, im Juni diese Fragen mündlich zu besprechen. Da jedoch durch Ihren Antrag, durch meine Antwort hierauf, durch Ihre Zurückziehung und meinen Protest hiegegen soviel Zeit ver flossen ist, die ich gerne zur Wettmachung meiner alljährlichen Abrechnungsenttäuschung (das einzige was ich von der UE derzeit mit Sicherheit erwarten darf) benützt hätte, wozu mir in Aussicht stehende sehr nette Angebote leicht verholfen hätten, so möchte ich von Ihnen einen Vorschuss auf meine Erträgnisse, also auf konto „alte Werke“ von tausend Mark haben. Sie nann ten Ihren vorigen Brief eine Friedenstaube. Wir halten noch nicht dabei, sondern erst bei den Präliminarien: ich will gerne mit der schliesslichen Friedenspfeife rechnen, obwohl mir meine Aerzte verbieten, so schlechtes zu rauchen. Dann will ich aber vorher eine kleine Leistung meines Kontos alte Werke sehen, wel che ja auch nicht ohne sind: ohne Leistungen und ohne Erträgnisse nicht; gewiss wenigstens in diesem Jahre!"
ASCC 1309,finde es unzweckmaessig unseren verhandlungswillen mit konflicktstoff zu belasten erbitte vorschuss sachlich durchaus begruendet auf konto alte werke
ASCC 1313,"das Heft ist ausgezeichnet. Ich bin wirklich n nun stolz darauf, dass sich endlich nun doch soviele finden, die nicht bloss durch Begeisterung für mich zu wirken im stand sind, sondern dadurch, dass das was sie schreiben an sich beachtenswert ist als geistige Leistung. Vor Allem Sie selbst: das ist wieder ein ausgezeichneter Artikel, voll Klarheit, Klugheit und Verständnis. Es muss unbedingt jedem schon das Niveau auf welchem alles sich bewegt, impo ni nieren. Das ist kein Herumgerede mehr; hier wird mit ganz neuen und doch so alten ästhetischen Begriffen in einer eleganten und sicheren Weise operiert, dass man sieht, es sind alle i m n einer so exakten Denkweise wirklich zuh ä a use. Wie wohltuend ist der Unterschied einer solchen Schreib weise gegen die der Schriftsteller des Impressionismus. Hier Da ist doch überall der Wille zu einer wirklichen Er kenntnis ästhetischer Werte vorhanden: hier wird nirgends mehr auf die Mitgerissenheit des Lesers gerechnet. Dass 2 mal 2 vier ist, muss und kann man ohne Gemütsbewegung glauben! Es stimmt ohne Stimmung. Da es mir wirklich an Zeit fehlt allen Teolnehmern Mitarbeitern an die sem Heft selbst zu schreiben, bitte ich Sie irgend einen Rahmenbrief, etwa unter Citierung des Anfangs und anderer Teile dieses Briefes im Bureau in sieben Exemplaren her stellen zu lassen, einiges verbindendes selbst hinzuzufügen und die beiliegende Kopie dieses Briefes in entsprechend viele Teile zer s schneiden zu lassen und jedem das auf ihn bezügliche Stück mit dem Rahmenbrief zusammen zuzusenden. Ich bin aber nun doch von dieser Sache mit dem Rahmenbrief wie der abgekommen. Das ist zu umständlich. Ich glaube es ist am bes ten, wenn Sie den einzelnen meine Grüsse sagen und dass ich alle sehr gut gefunden habe und mich sehr gefreut habe. Insbesondere über das Niveau des Ganzen. Insbesondere bitte ich Sie dem Felber der, in der letzten Zeit einige sehr schöne Aufsätze über mich geschrieben hat von mir zu grüssen. Dann hat sich der Wiesengrund sehr gebessert. Der schreibt ja jetzt ganz anders, als anfangs. Und die Anal ^ y se ist ausgezeichnet. Das wird Schule machen. Auch Jalowetz ist sehr hübsch und warm. Nur kommt er leider nicht über seinen Fehler langer Einleitungen hinaus und es fehlt ihm dann der Raum zu den Tatsachen. Er hätte enschieden schriftstellerische Begabung schreibt aber zu selten, um diese Anfängerschwierigkeiten zu überwinden. Sehr hübsch finde ich auch die beiden Aufsätze von Redlich. Aus dem kann was werden, wenn Sie ihn so in die Arbeit nehmen wie ich es seinerzeit mit Ihnen getan habe: was ein aus gezeichnetes Resultat ergeben hat; denn Sie schreiben heute schon besser als ich! Es sind in dem Redlich'schen Aufsatz ent schieden hübsche Gedanken drin. Nur gefällt er sich ein bischen zu sehr darin ungewöhnliche Termini zu erdenken die er nicht genügend erklärt, so dass man nur eine vage Vorstellung davon hat was er meint. Sagen Sie ihm: Beispiele! Und gerade solche Ausdrücke wie „radiale Polytonalität“ „der geometrische Ort“ (wessen?) u. dgl muss man eng umschreiben. Auch was Kunwald und Zemlinsky schreiben, ist sehr interessant und auch für mich günstig, weil es Dirigenten sind, die doch vom Praktischen sprechen. Horenstein trifft sich mit Jalowetz in dem Urteil über meinen ersten Stil. Das ist beides sehr hübsch und ich glaube auch richtig. Hans Ferdinand Redlich, Schönbergs Tonalität; Hans Ferdinand Redlich, Zu Schönbergs Instrumentierung zweier Bachscher Choralvorspiele Also nun habe ich doch alles besprochen: Ihnen brauche ich nicht zu danken: Sie haben sich selbst gedankt durch den grossen Fort schritt, den Sie in Ihrer Schriftstellerei gemacht haben, der Ih nen sicher bald eine sehr beachtete Position verschaffen wird. Nochmals also: ich habe mich sehr gefreut. Viele herzlichste Grüsse an Sie und Ihre Frau, auch seitens meiner Frau. Wir kommen in circa 3 Wochen nach Wien. Am 20 gebe ich in der Akademie ein Kompositionskonzert meiner Schüler: Könn te die UE Sie nicht zu diesem als Referenten hersenden und um eventuell den einen oder anderen Autor zu „erwerben“? Billig, den Zillig! PS. Bitte sagen Sie in der UE, ich bitte mir 2 Exemplare meiner Choralpartituren zu senden. Ich habe von einem Stück überhaupt keines. Und möchte doch den Aufsatz prüfen."
ASCC 1317,"Jetzt bin ich schon bald 20 Jahre mit der UE ver bunden und nun fragen Sie mich, ob ich die Urauffüh rung meiner Suite einem Herrn Taube übergeben will! Das mache ich doch bekanntlich fast immer selbst! Jedenfalls aber gebe ich sie doch nicht irgend einem mir ganz unbekannten Menschen. Haben Sie schon ge hört, dass Richard Strauss einem Herrn Taube eine Uraufführung überlassen hat? Oder habe ich es so nötig, dass ich das erste Aufführungsangebot anneh men muss? Bitte also vormerken: Uraufführungen mache ich selbst, ausgenommen es findet sich einer, den ich für geeig net halte! Das werde ich Ihnen schon dann sagen. Ich komme anfangs Juni wieder nach Wien: ich sehe schon: ich muss mich wieder ein bischen in Erinnerung bringen; Sie haben mich vergessen; Sie wissen schon nicht mehr wie ich gehe; ich verschwinde im Katalog unter den andern Nummern und viel grösseren Kano nen mit denen die UE nach den Spatzen schiesst, die ich auf ihrem Dach habe. Also auf Wiedersehen und Wiedererkennen: ich bin noch der Alte."
ASCC 1319,"ich sende morgen an Sie die photographier te Partitur des ersten Werkes, das ich Ihnen heuer im Sinne unseres Vertrages liefern werde: das III. Streichquartett op. 30 Da das Kolisch-Quartett die kurze Zeit meines Wiener Aufenthaltes benützen muss, um das Werk unter meiner Leitung zu studieren, möchte ich ungefähr Montag den 5. Juni bereits die erste Probe davon halten. Deshalb bitte ich Sie, die Partitur sofort den für verlässlichsten und schnellsten Kopisten (jedem einen Satz) zu geben. Sie werden die Partitur spä testens Mittwoch haben; dann können die Stimmen Freitag fertig und Samstag revidiert sein, so dass die Herrn vom Quartett noch am Sonntag ihre Stimme ein bischen ansehn können. Nach den ersten Proben kann dann auch der Druck Stich sofort beginnen. Wir werden dann diesmal eine sehr gute und auskorrigierte Stichvorlage haben, sodass ich keine Korrektur lesen muss. Der Stecher muss sehr gut auf Wendestellen achten und (wie stets bei mir) zahlreiche fortlaufend Stichworte einzeichnen, wozu immer die mit H‾ bezeichneten Hauptstimmen zu benützen sind. Er muss bei jeder Pause, die mehr als einen Takt beträgt, ein Stichwort brin gen. U. z.: bei 1 Takt 1 Takt Stichwort 〃 bei 2 〃 Takt en 2 〃 Takt e 〃 bei 3 〃 Takten 3 〃 Takte u. s. w. also eigentlich: fortlaufende Stichworte! Ich reise hier am 2. abends ab, bin also am 3. mor gens in Wien und werde mich dann sehr bald melden."
ASCC 1332,"Da ich schon seit sehr langer Zeit keine Abrechnung bekommen habe, erlaube ich mir hiemit Halberstädterstrasse 6 höflichst zu ersuchen, mir freundlichst umgehend Abrechnung sowie die vertraglich mir zustehenden An teile einzusenden."
ASCC 1333,"ich brauche am 2.VII. (Juli) eine Extrasumme von 1500.– Schill.. Da einerseits unsere Verhandlungen bisher nicht vorwärtsgekommen sind, andrerseits ich aber (ohne meinem prinzipiellen Standpunkt zu präju dizieren) des lieben Friedens halber in der Vor schusstilgungsfrage einstweilen Geduld bezeigen will, so bitte ich, mir diesen Betrag, unabhängig von meinen abmachungsgemässen Ansprüchen, als ein innerhalb ca 4 Wochen durch mich in bar rückzuzahlendes Darlehen zu geben. Ich bekomme nämlich postwendend (d. i. also in schätzungsweise 10 bis 20 Tagen) aus Amerika von Frau Coolidge 750 $ und möchte davon sofort nach Em pfang des Scheks die Rückzahlung leisten. Ich bitte Sie um freundlichst telegrafische Zusage (auf meine Kosten). Bei dieser Gelegenheit bitte ich zur Kenntnis zu neh men, dass das Quartett der Frau Coolidge gewidmet sein wird und vorzumerken, dass der Wortlaut der Widmung rechtzeitig eingefordert werden muss. Und: wann bekomme ich Vor schläge zur Güte??? Wie geht es Herrn Direktor Herzka? Richten Sie ihm meine Grüsse aus, falls er nicht mehr in Wien ist. Eventuell erbitte ich seine Adresse und Nachricht ob ich ihm dorthin ein „Textbuch“ (er weiss schon um was ich es sich handelt) schicken kann."
ASCC 1336,"ich bin im Prinzip dafür, dem Stadttheater in Bres lau die Glückliche Hand zu überlassen, weil ich den immer für den berücksichtigenswertesten halte, der es zuerst wagt. [Ich möchte aber meine definitive Zusage von einer Bedingung abhängig machen und bezüglich des Materialprei ses aus Prestigegründen einen Vorschlag machen. Der Vorschlag: Der Materialpreis hat derselbe zu sein, wie an jeder andern Bühne gleicher Grösse: Jedoch kann die Bezahlung in der Weise erfolgen, dass ein Teil bei Abschluss des Vertrages, ein weiterer nach der fünften Aufführung und der Rest nach der achten Aufführung zu bezahlen ist, so zwar, dass diese Restbeträge eben nur im Falle eines grösseren Erfolges, der sich in der Zahl der Aufführungen ausdrückt, fällig werden. Die Bedingung: ich möchte in direktem brieflichen Verkehr mit Prof. Turnau und dem Dirigenten des Werks Zusagen über ein e ige künstlerische Fragen erhalten, deren beiläu fi e ges Ausmass und Richtung Prof. Turnau aus den Erfahrun gen, die wir mit der Aufführung in der Volksoper gemacht haben ja ohnedies abzuschät e zen vermag, welche also keine Ungeheuerlichkeit dars c tellen.] Ich hielte es für zweckmässig Herrn Prof. Turnau den ersten Teil dieses Briefes im Wortlaut mitzuteilen."
ASCC 1338,mit bestem Dank bestätige ich den Empfang telegrafisch gesendeter 1500.– (fünfzehnhundert Schilling) auf meinen vorgestrigen Brief. Zu Ihrer heutigen Anfrage: die 500 Mark bitte ich meinem Sohn oder Herrn Greissle in Schillingen auszuzahlen gegen deren Bestätigung.
ASCC 1348,"Ihre „Vorschläge“ kann ich nicht ernst nehmen, muss aber doch meine gute Zeit leider verwenden, Ihnen zu sa gen, was Sie ja ohnedies wissen warum. Sie bieten mir 100 M. monatlich (170 Sch.) das ist jährlich ca 2000 Sch.. Und dafür soll ich Ihnen das Recht geben, den Vorschuss auf neue Werke aus den Erträgnissen der al ten zu decken. D. H. dass wenn die Erträgnisse auch nur an nähernd das erreichen würden, was minimal der Fall sein müsste, nämlich 6000 M (10000 Sch) jährlich (während es in dem Jahr über welches ich mich beschwert habe immer hin schon 6000 Sch waren, wobei ja eine Anzahl bereits bezahlter und verrechneter Posten, wie ich beweisen kann ausgelassen wurden): so würden Sie mir auf neue Wer ke auszahlen: 6000 Mark und auf alte Werke abziehen 6000 Mark, ich bekäme also Null und hätte die Verpflich tung Ihnen neue Werke zu liefern! Da mein Konto im schlechten vorigen Jahr R T 6000 Sch. (alte W) trug bedeutet die Auszahlung von 2000 Schilling einen Abzug von 4000 Sch. Es ist wahrhaft lächerlich! Zum Glück hat sich meine Situation so geändert, dass ich nicht genötigt bin, mir Ihre „Voschläge“ auf zwingen zu lassen. Diesmal werden Sie endlich einmal den Kürzeren ziehen. Denn wenn Sie es durch Ihre Taktik da hin bringen sollten, dass ich den Vertrag neue Werke als ungiltig bezeichnen muss, werden Sie es sehr bedauern müssen! Ich habe Ihnen folgende Erklärung abzugeben: Sollten Sie die Auszahlung der Augustrate verweigern, so müsste ich den Vertrag sofort als gelöst ansehen und würde dann allerdings die Lösung in nicht mehr wieder gut zumachender Form vollziehen. Zum Schluss möchte ich Ihnen noch nahelegen, die letzten Abrechnungen einer kleinen Revision zu unterziehen. Ich habe, sagen wir: das „Gefühl“, dass sich einige Irrtümer untergeordneter Angestellter (zu meinen Ungunsten) darin befinden, während sich manches andere nicht darin be findet! Nebenbei will ich noch erwähnen, dass Ihre „Vorschläge“ in keiner Weise den Besprechungen gerecht werden, die wir vor den Ferien hatten. Das ist Sabotage"
ASCC 1352,"bitte mir und dem Absender des beiliegenden Briefes mitzuteilen, ob die UE gestattet, dass ich diesem Verlag eine derartige Arbeit überlasse. Aus künstlerischen Gründen würde ich so etwas eventuell tun, obwohl das Honorar lächerlich ist. Den Brief erbitte ich retour. NB. ich habe Ihre Vorschläge noch nicht erhalten!"
ASCC 1354,"was ich auf Ihre Rundfrage antworten würde, habe ich schon skizziert. Ob und wann ich es ausarbeite, ist aber ungewiss. Ich habe in der letzten Zeit mein Stück oft und oft überarbeitet, aber fertig ist es noch nicht. In den letzten Tagen war ich auch sehr deprimiert. Ich habe die Dummheit begangen, es Herzka vorzulesen (zum Glück nur den ersten Akt) und der hat die Geschmacklosigkeit gehabt, mir sein wirklich ganz laienhaftes und kon ventionelles Urteil darüber zu sagen. Er hat nicht ein Wort davon verstanden und offenbar die Massstäbe daran gelegt, die er an Balletpantomime m n von Wellesz, Hoffmanns thal, Wassermann und Casella anlegt. So dumm es war, was er sagte, so hat es doch den Effekt, mir zu zeigen dass auch das nicht jedem gefallen kann. Und da ich in literarischen Arbeiten nicht diese technische Sicherheit habe wie in meinen musikalischen, so verstimmt es mich doch mehr. Ue brigens habe ich ja auch meine Musik schon seit Jahren niemals jemandem mehr gezeigt, der sich ein Urteil darü ber anmasst. Herzka ist natürlich durch den Servilismus seiner Verlagsautoren etwas präpotent worden und zeigt sich jetzt sehr selbstredend. Mein Zorn wird Sie vielleicht überraschen. Vielleicht überrascht Sie aber noch mehr die Tatsache, die ich, ihn zu begründen, anführe: dass ich nämlich wirklich seither nicht mehr daran weitergearbeitet habe! Vielleicht finden Sie das zimperlich von einem, der sein Werk trotz dem Widerspruch der Welt hinausge stellt hat. Aber vielleicht erkennen Sie daran, dass ich von dem Widerspruch eben tatsächlich jedesmal über rascht war, weil ich Zustimmung erwartet hatte. Aber nun genug von den Sentimentalitäten: es war eine Dummheit, es zu zeigen und ich will trachten, sie in Hinkunft zu vermeiden. Ich will sehen, ob ich Ihnen den Radio Aufsatz fertig schreiben kann. Besten Dank für Ihre m M itteilungen N ü ber meine nächst jährigen Aufführungen. Hoffentlich wird all das. Sie wissen vielleicht, in welcher Weise die UE auf meine Vorschl a äge, über die wir vor den Ferien verhan delt haben, reagiert hat. Unerhört! Es wird doch zum Krach kommen müssen. Ich weiss nicht, ob wir länger hier bleiben werden, aber auch noch nicht, wann wir fortgehen und wohin."
